"timestamp","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.WAP","SPY.hasGaps","SPY.Count"
"2022-01-10 21:00:00",462.96,465.74,461.58,465.55,181333,463.768,0,103500
"2022-01-11 15:30:00",465.22,465.46,462.05,462.86,91306,463.576,0,50093
"2022-01-11 16:00:00",462.86,464.97,462.35,463.43,105524,463.612,0,67093
"2022-01-11 17:00:00",463.44,468.06,463.34,467.55,95336,466.057,0,57699
"2022-01-11 18:00:00",467.55,468.01,466.66,467.76,43987,467.482,0,25737
"2022-01-11 19:00:00",467.76,468.57,466.99,468.47,38267,467.957,0,23065
"2022-01-11 20:00:00",468.46,469.39,467.7,468.89,45737,468.466,0,27168
"2022-01-11 21:00:00",468.88,469.85,468.54,469.74,130008,469.284,0,65865
"2022-01-12 15:30:00",471.59,472.68,470.89,472.63,65820,471.796,0,42371
"2022-01-12 16:00:00",472.64,473.2,470.12,470.74,88699,471.679,0,56712
"2022-01-12 17:00:00",470.74,471.53,468.94,470.97,71344,470.315,0,46523
"2022-01-12 18:00:00",470.99,471.87,470.25,471.7,37725,471.036,0,26159
"2022-01-12 19:00:00",471.71,471.77,470.17,470.36,42793,470.953,0,28700
"2022-01-12 20:00:00",470.35,471.19,469.77,470.92,50187,470.541,0,31426
"2022-01-12 21:00:00",470.92,471.67,470.13,471.07,114760,470.835,0,63762
"2022-01-13 15:30:00",472.21,472.88,471.75,472.36,42296,472.269,0,26103
"2022-01-13 16:00:00",472.34,472.53,469.18,469.95,79680,470.704,0,52099
"2022-01-13 17:00:00",469.91,471.36,469.44,470.91,63375,470.44,0,42179
"2022-01-13 18:00:00",470.9,470.91,466.91,467.62,91958,468.189,0,59694
"2022-01-13 19:00:00",467.61,468.86,466.97,468.66,63601,468.088,0,41679
"2022-01-13 20:00:00",468.66,469.21,466.78,467.34,64450,467.639,0,41723
"2022-01-13 21:00:00",467.34,467.38,463.44,464.54,211088,464.999,0,113626
"2022-01-14 15:30:00",461.19,464.5,460.73,464.4,101724,462.609,0,60214
"2022-01-14 16:00:00",464.38,464.86,461.8,462.6,109064,463.17,0,68046
"2022-01-14 17:00:00",462.61,463.41,460.71,462.94,92383,462.001,0,56974
"2022-01-14 18:00:00",462.95,463.29,460.53,460.64,57715,461.971,0,37863
"2022-01-14 19:00:00",460.64,462.16,459.9,461.98,77308,460.744,0,48670
"2022-01-14 20:00:00",461.97,463.14,461.43,462.24,73670,462.298,0,50162
"2022-01-14 21:00:00",462.24,465.09,462.23,464.69,180669,464.22,0,93465
"2022-01-18 15:30:00",459.73,459.96,457.14,458.12,110841,458.389,0,61451
"2022-01-18 16:00:00",458.1,459.55,457.24,457.5,106177,458.325,0,64719
"2022-01-18 17:00:00",457.52,458.73,456.58,458.07,83327,457.566,0,55944
"2022-01-18 18:00:00",458.09,458.28,455.71,455.8,77552,456.691,0,48132
"2022-01-18 19:00:00",455.81,457.32,455.46,457.15,87908,456.333,0,56266
"2022-01-18 20:00:00",457.14,458.9,456.72,458.43,73140,457.806,0,48985
"2022-01-18 21:00:00",458.42,458.65,455.31,456.51,210337,456.499,0,120360
"2022-01-19 15:30:00",458.17,459.62,457.74,459.48,82101,458.83,0,47055
"2022-01-19 16:00:00",459.48,459.55,455.47,456.28,116237,456.937,0,71106
"2022-01-19 17:00:00",456.28,456.87,454.73,456.72,96959,455.704,0,59586
"2022-01-19 18:00:00",456.73,458.26,456.7,458.09,71417,457.602,0,42492
"2022-01-19 19:00:00",458.11,458.18,456.09,456.43,58643,457.078,0,37062
"2022-01-19 20:00:00",456.42,456.66,454.25,455.37,82899,455.215,0,50980
"2022-01-19 21:00:00",455.38,456.11,451.46,451.79,217261,453.428,0,118585
